    "time",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "Losses",  "uAC[1]",  "uAC[2]",  "uAC[3]",     "uDC"
    0.0228,  259.0014,-259.16486, 0.1634538,  1878.771,   530.912,-347.18298,-183.72902,  526.3949
     0.023,  310.5356,-310.63807,0.10247156, 2127.7283, 528.11285,-315.29226, -212.8206, 523.49273
    0.0232, 372.30121, -372.3423,0.04108491, 2448.9823, 526.09673,-283.59084,-242.50589, 521.35314
    0.0234, 439.18901,-439.16855,-0.020463883,  2820.956, 524.95408,-252.24509,-272.70899, 520.07677
    0.0236,  505.9936,-505.91166,-0.081931914, 3216.4147, 524.70229,-221.38515,-303.31714, 519.69144
    0.0238, 567.54192,-567.39884,-0.1430766, 3602.6818, 525.30487,-191.11406, -334.1908, 520.17097
     0.024, 618.83925, -618.6356,-0.20365662, 3943.0856, 526.63704,-161.49011,-365.14693, 521.40062
    0.0242, 655.05069,-654.78725,-0.26343292, 4198.7224, 528.53878, -132.5528,-395.98598,    523.23
    0.0244, 671.88897,-671.56679,-0.32217538, 4333.4868, 530.75471,-104.28951, -426.4652, 525.41231
    0.0246, 665.48926,-665.10963,-0.37963471, 4316.6957, 532.99835,-76.681629,-456.31672, 527.66882
    0.0248, 632.61682,-632.18122,-0.43560183, 4127.8054, 534.92982,-49.663775,-485.26604, 529.66609
     0.025, 570.77936,-570.28951,-0.48984948, 3760.2372, 536.17129,-23.160662,-513.01063, 531.03129
    0.0252, 478.40381,-477.30835,-1.0954518,  3220.542, 536.32051,-0.47621243, -535.8443, 531.36587
    0.0254, 371.79119,-334.61929,  -37.1719, 2585.7338, 535.05445,-0.29744709,-534.75701, 530.34911
    0.0256, 260.85201, -131.4281,-129.42391, 1984.6247, 532.27528,-0.00200418,-532.27328, 527.88407
    0.0258, 210.72881,-0.26353963,-210.46527, 1654.6453, 396.03616, 132.49627,-528.53243, 524.11229
     0.026, 248.22389,-0.20376501,-248.02012, 1815.6764, 364.36472,  160.5995,-524.96422, 520.46902
    0.0262, 303.54801,-0.14318624,-303.40482, 2079.7924, 332.61861, 189.43223,-522.05083, 517.44492
    0.0264, 371.67462,-0.082042337,-371.59258,  2431.882, 301.01644, 218.97402,-519.99047, 515.24824
    0.0266, 447.39161,-0.020574695,-447.37104, 2852.6215, 269.74257, 249.16785,-518.91042,  514.0167
    0.0268,  525.2937,0.040974195,-525.33467, 3316.0691, 238.94486, 279.91909,-518.86395, 513.81436
     0.027, 599.93853,0.10236153, -600.0409, 3789.3629, 208.73893, 311.10056, -519.8395, 514.64056
    0.0272, 665.98398,0.16334454,-666.14733, 4233.6582, 179.20028, 342.54498,-521.74525, 516.41416
    0.0274, 718.30494,0.22368307,-718.52862, 4606.3359, 150.36378, 374.04707,-524.41085, 518.97506
    0.0276,  752.1885,0.28313884,-752.47164,  4864.997,  122.2399, 405.37903,-527.61893, 522.11533
    0.0278, 763.35884,0.34147719,-763.70032, 4971.0102, 94.805376,  436.2829,-531.08828, 525.56228
     0.028, 748.11752,0.39846788,-748.51598, 4894.2869, 68.006993, 466.47527,-534.48226,  528.9867
    0.0282, 703.46241,  0.453886, -703.9163, 4617.8421, 41.767458, 495.65391,-537.42137, 532.01506
    0.0284, 627.13433, 0.5075128,-627.64185, 4141.2299, 15.990132, 523.50344,-539.49357, 534.23988
    0.0286,  515.5111, 4.9252233,-520.43632, 3481.0005,0.51058536, 539.75615,-540.26673, 535.23186
    0.0288, 347.34826, 54.833826,-402.18208, 2755.0597,0.29251414,  539.1582,-539.45071, 534.70226
     0.029, 117.75015, 159.53791,-277.28805, 2079.3821,-0.041787715, 536.98674,-536.94495, 532.55099
    0.0292,0.24371876, 231.38474,-231.62846, 1764.6659, -144.8778, 533.47459,-388.59679, 529.01264
    0.0294,0.18364968, 265.02877,-265.21242, 1910.7184, -173.2504, 530.15067,-356.90027, 525.62148
    0.0296,0.12285584, 314.91012,-315.03297, 2151.2017,-202.28018, 527.41632,-325.13614, 522.78743
    0.0298,0.061577127, 376.12606,-376.18764, 2469.4168,-231.93808, 525.45335,-293.51527, 520.70208
      0.03,5.5411124e-005, 443.63362,-443.63368, 2844.8731, -262.1544, 524.36421,-262.20981, 519.47799
    0.0302,-0.061466535, 512.18348,-512.12202, 3251.0099,-292.82872, 524.19084,-231.36212, 519.16758
    0.0304,-0.1227459, 576.57991,-576.45716, 3655.7567,-323.81992, 524.89382, -201.0739, 519.74183
    0.0306,-0.18354083, 631.74554,  -631.562, 4022.3997,-354.95681, 526.37259,-171.41579, 521.11034
    0.0308,-0.24361142, 672.83662,-672.59301, 4311.8538, -386.0397, 528.46773,-142.42803, 523.12336
     0.031,-0.30272059, 695.37468,-695.07196, 4486.0277,-416.83802, 530.95514,-114.11713, 525.56576
    0.0312,-0.36063505, 695.35964,  -694.999, 4511.7929,-447.09428, 533.55315,-86.458869, 528.16386
    0.0314,-0.41712625, 669.37333,-668.95621, 4365.1591,-476.52882, 535.93098,-59.402154, 530.59372
    0.0316,-0.47197125, 614.66858,-614.19661, 4035.1518,-504.84482, 537.71792,-32.873102, 532.49013
    0.0318,-0.52495359, 529.24174,-528.71679, 3526.9106,-531.73358, 538.51305,-6.7794694, 533.45617
     0.032,-16.899721, 419.86491,-402.96519, 2874.2056,-537.53944, 537.92551,-0.38606508, 533.10375
