    "time",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "Losses",  "uAC[1]",  "uAC[2]",  "uAC[3]",     "uDC"
    0.0172,-585.48532,-0.16334454, 585.64866, 3708.0022,-178.70326,-342.04796, 520.75121, 515.58112
    0.0174,-640.34635,-0.22368307, 640.57003, 4077.7318,-149.34166,-373.02495, 522.36661, 517.08674
    0.0176,-678.46737,-0.28313884, 678.75051, 4351.5774,-120.71738,-403.85651, 524.57389, 519.21772
    0.0178,-695.47735,-0.34147719, 695.81882, 4491.3103,-92.816902,-434.29443, 527.11133, 521.72109
     0.018, -687.5569,-0.39846788, 687.95537, 4465.7181,-65.597709,-464.06599,  529.6637, 524.28924
    0.0182,-651.53026, -0.453886, 651.98414, 4254.8934,-38.991813,-492.87827, 531.87008, 526.56763
    0.0184,-584.95425,-0.50751284, 585.46176, 3854.0554,-12.910381,-520.42372, 533.33411, 528.16476
    0.0186,-482.34712,-8.2079711,  490.5551, 3277.2339,-0.47413868,-533.16783, 533.64197, 528.67013
    0.0188,-321.75738,-65.559802, 387.31718, 2646.1205,-0.25619732,-532.29284, 532.54903, 527.84102
     0.019,-99.927514,-177.91808, 277.84559,  2062.122,0.077990485,-530.04982, 529.97183, 525.59512
    0.0192,-0.24371875,-252.31634, 252.56006, 1850.7601, 141.49997,-526.71894, 385.21897, 522.21511
    0.0194,-0.18364968,-296.97928, 297.16293,  2057.579, 170.05876, -523.7674, 353.70863,  519.1743
    0.0196,-0.12285583,-357.07392, 357.19678, 2361.0446, 199.34718,-521.55031, 322.20313, 516.83708
    0.0198,-0.061577135,-427.55782,  427.6194, 2744.0028, 229.32651,-520.23021, 290.90371, 515.37608
      0.02,-5.5404674e-005,-503.14214, 503.14219, 3183.7173, 259.92201,-519.89942, 259.97741, 514.89417
    0.0202,0.061466535,-578.43454, 578.37307, 3650.8166, 291.02313,-520.57967, 229.55654,  515.4239
    0.0204, 0.1227459,-648.06238, 647.93963, 4109.4382,  322.4831,-522.22018, 199.73708, 516.92522
    0.0206,0.18354083,-706.81396, 706.63042, 4518.8634, 354.12041,-524.69979, 170.57939,  519.2874
    0.0208,0.24361142,-749.76471,  749.5211, 4836.3327, 385.72102,-527.83038, 142.10936, 522.33215
     0.021,0.30272059,-772.39405, 772.09133, 5020.8171, 417.04156,-531.36223, 114.32067,  525.8188
    0.0212,0.36063505,-770.71276, 770.35213, 5037.4986, 447.81201,-534.98861, 87.176601, 529.44862
    0.0214,0.41712625,-741.34882,  740.9317,  4862.148, 477.74119,-538.35571, 60.614521, 532.87451
    0.0216,0.47197125,-681.64305, 681.17108, 4485.2337, 506.52114,-541.07055, 34.549416, 535.70882
    0.0218,0.52495359,-589.72162, 589.19667, 3915.0477, 533.83252,-542.71093, 8.8784063, 537.53309
     0.022, 13.271539,-470.87519, 457.60365, 3186.1282,  542.4125,-542.85683,0.44433167, 537.92944
    0.0222, 78.665444,-344.71154,  266.0461, 2441.9503,  541.1075,-541.29488,0.18738047,  536.6852
    0.0224,  198.7701,-212.24056, 13.470456, 1791.4613,  538.1272, -537.9419,-0.18529946, 533.71726
    0.0226,  222.2677,-222.49149,0.22379096, 1717.4694, 534.30687,-379.04903,-155.25784, 529.86318
    0.0228, 258.76675,-258.93021, 0.1634538, 1877.5174, 530.88422,-347.16909,-183.71513, 526.36758
     0.023,  310.3542,-310.45668,0.10247156, 2126.7021, 528.08376,-315.27771,-212.80605,   523.464
    0.0232, 372.16665,-372.20773,0.04108491,  2448.162, 526.06517,-283.57506,-242.49011, 521.32185
    0.0234, 439.10265,-439.08218,-0.020463887,  2820.372, 524.92056,-252.22833,-272.69223, 520.04343
    0.0236, 505.95724,-505.87531,-0.08193441, 3216.1205, 524.67323,-221.36937,-303.30386, 519.66245
    0.0238, 567.54819,-567.40511,-0.14307514, 3602.6482, 525.27696,-191.10084,-334.17612, 520.14306
     0.024, 618.84699,-618.64337,-0.20361572, 3943.0767, 526.61762,-161.50085,-365.11677, 521.38118
    0.0242,  655.1048,-654.84137,-0.26343219,  4199.022, 528.51656,-132.54205,-395.97451, 523.20767
    0.0244, 671.96856,-671.64639,-0.32216958,  4333.965, 530.73504,-104.28257,-426.45247, 525.39249
    0.0246, 665.59248,-665.21285,-0.37963479, 4317.3354, 532.98044,-76.672634,-456.30781,  527.6507
    0.0248, 632.73494,-632.29934,-0.43560168, 4128.5343, 534.91411,-49.655999,-485.25812, 529.65015
     0.025, 570.84158,-570.35173,-0.48984949, 3760.5978, 536.16005,-23.155034,-513.00502, 531.01993
    0.0252, 478.36188,-477.32019,-1.0416857, 3220.3271, 536.31476,-0.47627803,-535.83848, 531.36015
    0.0254, 371.77515, -334.6543,-37.120845, 2585.6609, 535.04932,-0.29753316,-534.75179, 530.34396
    0.0256, 260.83817,-131.45756,-129.38061, 1984.5419, 532.27001,-0.0020769519,-532.26794, 527.87878
    0.0258, 210.67302,-0.26353964,-210.40948, 1654.3596, 396.03313, 132.49323,-528.52637, 524.10634
     0.026, 248.26205,-0.20376501,-248.05828, 1815.8376, 364.35913, 160.59391,-524.95304, 520.45777
    0.0262, 303.59871,-0.14318622,-303.45552, 2080.0294, 332.61337, 189.42701,-522.04038, 517.43437
    0.0264, 371.75117,-0.082042337,-371.66913, 2432.2821, 301.01267, 218.97025,-519.98292, 515.24054
    0.0266, 447.48284,-0.02057467,-447.46226, 2853.1377, 269.74032, 249.16563,-518.90595, 514.01205
    0.0268, 525.39038,0.040974195,-525.43136, 3316.6595, 238.94504, 279.91928,-518.86432, 513.81453
